Subcategory,ITEM_DESC,SOURCE,ITEM,Subcategory2
Admin Fees,OTHER CHARGES (ADMIN & PROCESSING FEES/MISC EXP),Contract,8074,
Admin Fees,ADMINISTRATION FEE,Contract,8211,
Admin Fees,LABOR,Contract,8257,
Admin Fees,PILOT SUPPLIES,Contract,8013,
Admin Fees,PROCESSING FEE,Contract,8100,
Admin Fees,ADMIN FEE SERVICES,Contract,ADMINPROCFEE,
Admin Fees,THIRD PARTY CHARGES,Contract,TAX,
Admin Fees,ADMIN FEE OF 15,Retail,2ADMIN15,
Admin Fees,THIRD PARTY CHARGES,Contract,TAX-ADJ-928,
Admin Fees,ADMINISTRATION FEE,Contract,,
Admin Fees,3RD PARTY-ADMIN FEE - EA,Contract,8017,
Admin Fees,ADMIN FEE (SERVICES),Contract,ADMINPROCFEE,
Admin Fees,ADMINISTRATION FEE - EA,Contract,8083,
Admin Fees,ADMINISTRATIVE FEE - EA,Contract,829,
Admin Fees,RISK MANAGEMENT FEE EA,Contract,8003,
Admin Fees,VENDOR ADMIN FEE,Contract,8303,
Admin Fees,VENDOR ADMINISTRATIVE FEE (AGENT),Retail,2AGT,
Admin Fees,THIRD PARTY CHARGES-HST TAX,Retail,,
Admin Fees,VENDOR ADMINISTRATIVE FEE (AGENT),Retail,,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY),Retail,,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-15%,Retail,,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY),Retail,,
Admin Fees,OTHER CHARGES (ADMIN & PROCESSING FEES/MISC EXP),Retail,,
Admin Fees,*ADMINISTRATIVE FEE,Retail,,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY),Retail,,
Admin Fees,ADMINISTRATIVE FEE,Retail,2ADMIN,
Admin Fees,MISC NON-TAXABLE,Retail,2MISCNT,
Admin Fees,MISCELLANEOUS,Retail,2MISC,
Admin Fees,SUPERVISION FEES,Retail,2SV,
Admin Fees,*ADMINISTRATIVE FEE-TVSA,Retail,,
Admin Fees,PILOT SERVICES,Retail,2PILS,
Admin Fees,*ADMINISTRATIVE FEE,Services,2ADMIN,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY),Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (3RD PARTY)-15%,Services,2VAD,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (AGENT),Services,2AGT,
Admin Fees,*VENDOR ADMINISTRATIVE FEE (AGENT),Services,7AGT,
Admin Fees,ADMIN FEES,Services,2ADMIN,
Admin Fees,ADMIN FEES,Services,7ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-+ 15%,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-10%,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-15%,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-15%,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-6%,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-ADMINISTRATION & COMMUNICATION FEES,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-ADMINISTRATION / COMMUNICATION FEE,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-EURO JET,Services,2ADMIN,
Admin Fees,*ADMINISTRATIVE FEE-EURO JET,Services,2ADMIN,
